state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,Enrol_Total,Update_Total,Grand_Total,UER_Score,Adult_Entry_Rate,Catch_Up_Index,CV_Volatility,Region,R21_Child_Bio_Intensity,R22_Adult_Bio_Intensity,R23_Adult_Workload_Share,R24_Infant_Enrol_Share,System_Phase,Cluster_ID
Arunachal Pradesh,Longding,141.0,719.0,37.0,263.0,1222.0,1611.0,988.0,897.0,4084.0,4981.0,4.547884187082405,0.04120267260579064,5.063380281690141,3.5650989627453598,Other,6.1022727272727275,0.8078495502861816,0.44368600682593856,0.028307568761292912,Mixed/School Phase,1
Arunachal Pradesh,Lower Dibang Valley,58.0,49.0,2.0,186.0,971.0,1373.0,875.0,109.0,3405.0,3514.0,30.954545454545453,0.01818181818181818,0.8305084745762712,0.7362391560886639,Other,7.342245989304812,0.9002057613168725,0.5253272623790552,0.016505406943653957,Mature (Adult Maint.),0
Arunachal Pradesh,Lower Siang,10.0,18.0,3.0,70.0,269.0,359.0,54.0,31.0,752.0,783.0,23.5,0.09375,1.6363636363636365,0.7948987349319722,Other,5.056338028169014,0.2,0.4125159642401022,0.01277139208173691,Mixed/School Phase,0
Arunachal Pradesh,Lower Subansiri,50.0,55.0,0.0,198.0,1323.0,1530.0,1150.0,105.0,4201.0,4306.0,39.632075471698116,0.0,1.0784313725490196,0.811154486087644,Other,7.688442211055277,0.8685800604229608,0.5743149094287041,0.011611704598235021,Mature (Adult Maint.),0
Arunachal Pradesh,Namsai,95.0,54.0,1.0,221.0,1914.0,3561.0,2442.0,150.0,8138.0,8288.0,53.89403973509934,0.006622516556291391,0.5625,1.202585413079393,Other,16.04054054054054,1.275195822454308,0.5255791505791506,0.011462355212355212,Mature (Adult Maint.),0
Arunachal Pradesh,Pakke Kessang,2.0,1.0,1.0,14.0,73.0,30.0,44.0,4.0,161.0,165.0,32.2,0.2,0.3333333333333333,1.4285714285714286,Other,2.0,0.5945945945945946,0.7090909090909091,0.012121212121212121,Mature (Adult Maint.),2
Arunachal Pradesh,Papum Pare,201.0,241.0,5.0,770.0,4152.0,4835.0,4424.0,447.0,14181.0,14628.0,31.654017857142858,0.011160714285714286,1.193069306930693,0.7773623410953358,Other,6.271076523994812,1.065254033228991,0.5862729012852065,0.013740771123872026,Mature (Adult Maint.),0
Arunachal Pradesh,Shi-yomi,8.0,22.0,5.0,43.0,195.0,210.0,319.0,35.0,767.0,802.0,21.305555555555557,0.1388888888888889,2.4444444444444446,1.3862175476680323,Other,4.7727272727272725,1.6275510204081634,0.6408977556109726,0.00997506234413965,Mature (Adult Maint.),0
Arunachal Pradesh,Siang,39.0,60.0,4.0,175.0,602.0,880.0,429.0,103.0,2086.0,2189.0,20.057692307692307,0.038461538461538464,1.5,0.9850636549546776,Other,5.0,0.7114427860696517,0.4709913202375514,0.017816354499771585,Mixed/School Phase,0
Arunachal Pradesh,Tawang,104.0,43.0,7.0,209.0,742.0,1866.0,598.0,154.0,3415.0,3569.0,22.032258064516128,0.04516129032258064,0.4095238095238095,1.0701360955962902,Other,8.885714285714286,0.8048452220726783,0.37545530961053514,0.02913981507425049,Mixed/School Phase,0
Arunachal Pradesh,Tirap,59.0,39.0,1.0,96.0,894.0,1371.0,522.0,99.0,2883.0,2982.0,28.83,0.01,0.65,1.2221182821041408,Other,14.1340206185567,0.5832402234636872,0.47484909456740443,0.019785378940308518,Mixed/School Phase,0
Arunachal Pradesh,Upper Siang,21.0,21.0,1.0,199.0,1122.0,1235.0,561.0,43.0,3117.0,3160.0,70.8409090909091,0.022727272727272728,0.9545454545454546,1.0201828736599674,Other,6.175,0.4995547640249332,0.5325949367088607,0.006645569620253164,Mature (Adult Maint.),0
Arunachal Pradesh,Upper Subansiri,76.0,55.0,12.0,347.0,1202.0,2462.0,1704.0,143.0,5715.0,5858.0,39.6875,0.08333333333333333,0.7142857142857143,0.8793106550951264,Other,7.074712643678161,1.4164588528678304,0.49607374530556503,0.012973711164219871,Mixed/School Phase,0
Arunachal Pradesh,West Kameng,157.0,103.0,18.0,375.0,1484.0,2967.0,3205.0,278.0,8031.0,8309.0,28.78494623655914,0.06451612903225806,0.6518987341772152,2.2515818591849754,Other,7.89095744680851,2.1582491582491583,0.5643278372848718,0.018895173907810807,Mature (Adult Maint.),1
Arunachal Pradesh,West Siang,110.0,80.0,2.0,521.0,3031.0,3345.0,1301.0,192.0,8198.0,8390.0,42.476683937823836,0.010362694300518135,0.7207207207207207,0.9143902219975816,Other,6.408045977011494,0.42908970976253297,0.5163289630512515,0.013110846245530394,Mature (Adult Maint.),0
Assam,Bajali,19.0,8.0,2.0,57.0,787.0,6.0,17.0,29.0,867.0,896.0,28.9,0.06666666666666667,0.4,1.507874069850104,North East,0.10344827586206896,0.021573604060913704,0.8973214285714286,0.021205357142857144,Mature (Adult Maint.),0
Assam,Baksa,2120.0,1179.0,400.0,1346.0,15666.0,11602.0,5853.0,3699.0,34467.0,38166.0,9.315405405405405,0.10810810810810811,0.5558698727015559,3.697134880898072,North East,8.61321455085375,0.37358779600434033,0.5638264423832731,0.05554682177854635,Mature (Adult Maint.),1
Assam,Barpeta,10545.0,3306.0,532.0,4978.0,54164.0,66392.0,29029.0,14383.0,154563.0,168946.0,10.745481090100112,0.036985539488320354,0.3134837853214489,2.58638782463644,North East,13.33440449889536,0.5359364903535493,0.49242361464609996,0.0624163934038095,Mixed/School Phase,1
Assam,Biswanath,789.0,464.0,76.0,844.0,10181.0,6159.0,3389.0,1329.0,20573.0,21902.0,15.468421052631578,0.05714285714285714,0.5873417721518988,2.122268706273687,North East,7.2887573964497046,0.33284227067373795,0.619578120719569,0.0360241073874532,Mature (Adult Maint.),1
Assam,Bongaigaon,2324.0,626.0,225.0,3318.0,35806.0,24633.0,11975.0,3175.0,75732.0,78907.0,23.84508816120907,0.07084382871536524,0.26924731182795697,1.5501652920257618,North East,7.42181379933715,0.3344318150082386,0.6055356305524224,0.02945239332378623,Mature (Adult Maint.),0
Assam,Cachar,11474.0,4513.0,1527.0,5078.0,52941.0,42167.0,23978.0,17514.0,124164.0,141678.0,7.089009420496717,0.08718241507279474,0.39328976034858387,3.012048888086027,North East,8.302224847410908,0.4529107324997167,0.5429142139217098,0.08098646225948983,Mature (Adult Maint.),1
Assam,Charaideo,659.0,336.0,194.0,763.0,9150.0,6096.0,2197.0,1189.0,18206.0,19395.0,15.299159663865547,0.16302521008403362,0.509090909090909,1.341813780589556,North East,7.979057591623037,0.24008305103267402,0.5850476927043052,0.03397782933745811,Mature (Adult Maint.),2
Assam,Chirang,2013.0,1071.0,264.0,1175.0,12222.0,18078.0,9009.0,3348.0,40484.0,43832.0,12.088384592415647,0.07882950134368469,0.531777557100298,3.2842751887230865,North East,15.372448979591837,0.7370530966211241,0.4843721482022267,0.04592535134148567,Mixed/School Phase,1
Assam,Darrang,4390.0,1914.0,1291.0,3187.0,25132.0,16240.0,10025.0,7595.0,54584.0,62179.0,7.185887309110058,0.16995787256450764,0.43589159644727854,1.6163639593426555,North East,5.094102885821832,0.3988779692038356,0.5654159764550732,0.07060261503079818,Mature (Adult Maint.),2
Assam,Dhemaji,3864.0,1846.0,1191.0,1927.0,20422.0,12494.0,8236.0,6901.0,43079.0,49980.0,6.24152419588525,0.17255867864387134,0.4776196636481242,3.036282003132808,North East,6.480290456431535,0.40327082211232435,0.5733893557422969,0.0773109243697479,Mature (Adult Maint.),2
Assam,Dhubri,8432.0,3849.0,365.0,7185.0,73614.0,40373.0,19102.0,12646.0,140274.0,152920.0,11.09148414643789,0.02886059935162489,0.456421202419068,1.7240159147200589,North East,5.618285555246312,0.25948515927460436,0.6063039497776616,0.05513994245357049,Mature (Adult Maint.),0
Assam,Dibrugarh,3895.0,1675.0,1492.0,1874.0,24645.0,14970.0,11765.0,7062.0,53254.0,60316.0,7.539855585445278,0.21124168200481383,0.4299281314168378,2.676005447123276,North East,7.984,0.4773594092347643,0.603654088467405,0.06457656343258837,Mature (Adult Maint.),2
Assam,Dima Hasao,620.0,523.0,165.0,316.0,3563.0,2793.0,1256.0,1308.0,7928.0,9236.0,6.056531703590527,0.12605042016806722,0.8421900161030595,3.1809608611242104,North East,8.810725552050473,0.35241301907968575,0.5217626678215678,0.0671286271113036,Mature (Adult Maint.),1
Assam,Goalpara,6881.0,2220.0,797.0,4325.0,36242.0,17021.0,10603.0,9898.0,68191.0,78089.0,6.888675623800384,0.08051318314981311,0.3225806451612903,2.7476757275289647,North East,3.9345815996301434,0.2925530447258781,0.5998924304319431,0.0881174044999936,Mature (Adult Maint.),1
Assam,Golaghat,5537.0,4047.0,1921.0,1998.0,25926.0,12369.0,7785.0,11505.0,48078.0,59583.0,4.178515557100643,0.16695637058925777,0.7307692307692307,3.107638570252579,North East,6.187593796898449,0.30026613183168127,0.5657821861940486,0.09292919121225852,Mature (Adult Maint.),2
Assam,Hailakandi,3826.0,1441.0,311.0,2253.0,19049.0,14201.0,6922.0,5578.0,42425.0,48003.0,7.604409392364223,0.055744757124932785,0.3765351450222106,1.927633945941771,North East,6.300354924578527,0.3633595800524934,0.5410286857071434,0.07970335187384121,Mature (Adult Maint.),1
Assam,Hojai,5288.0,1607.0,155.0,2371.0,22937.0,15271.0,13731.0,7050.0,54310.0,61360.0,7.702453552687562,0.021982697489717772,0.30383815466061637,2.348148651557346,North East,6.438026981450253,0.5986136541982736,0.5975880052151239,0.08617992177314211,Mature (Adult Maint.),1
Assam,Jorhat,2905.0,1122.0,860.0,1266.0,18522.0,10704.0,5575.0,4887.0,36067.0,40954.0,7.378682487725041,0.17594108019639934,0.3860977288368892,2.792618298405969,North East,8.448303078137332,0.3009771635264266,0.5883918542755286,0.07093324217414661,Mature (Adult Maint.),2
Assam,Kamrup,9324.0,3441.0,1044.0,3266.0,41318.0,30056.0,13196.0,13809.0,87836.0,101645.0,6.360318609703113,0.07559739319333816,0.36900804289544237,1.316529256284912,North East,9.199877563513928,0.319368813378833,0.5363175758768262,0.09173102464459638,Mature (Adult Maint.),0
Assam,Kamrup Metro,2654.0,2055.0,1337.0,2308.0,23883.0,14584.0,12178.0,6046.0,52953.0,58999.0,8.756904250041343,0.22110137258144535,0.7740112994350282,1.8695462281180464,North East,6.3161541792983975,0.5098810919443979,0.6112137493855828,0.04498381328497093,Mature (Adult Maint.),2
Assam,Karbi Anglong,2918.0,4107.0,1082.0,2438.0,28683.0,25507.0,13699.0,8107.0,70327.0,78434.0,8.673778983719783,0.1334484459792797,1.4069886947584789,3.921370579980512,North East,10.457974579745798,0.47758332171245294,0.5403523981946605,0.03720325369100135,Mature (Adult Maint.),1
Assam,Kokrajhar,2519.0,1572.0,518.0,1928.0,20741.0,18300.0,10559.0,4609.0,51528.0,56137.0,11.177440347071583,0.11236442516268981,0.6238095238095238,2.288489826568194,North East,9.486780715396579,0.509063735416064,0.5575645296328625,0.04487236581933484,Mature (Adult Maint.),1
Assam,Lakhimpur,4726.0,1825.0,648.0,2993.0,32419.0,17189.0,12583.0,7199.0,65184.0,72383.0,9.053333333333333,0.09,0.3860799661518934,1.9493885883003048,North East,5.741148964595858,0.38812461443553364,0.62172056974704,0.06529157398836744,Mature (Adult Maint.),1
Assam,Majuli,347.0,157.0,11.0,290.0,2991.0,2139.0,1243.0,515.0,6663.0,7178.0,12.912790697674419,0.02131782945736434,0.4511494252873563,2.2403791998984977,North East,7.350515463917525,0.41544117647058826,0.5898578991362496,0.04834215658957927,Mature (Adult Maint.),1
Assam,Marigaon,6735.0,2928.0,824.0,4499.0,39311.0,19361.0,14575.0,10487.0,77746.0,88233.0,7.412852784134249,0.07856598016781083,0.4346793349168646,2.54518042289139,North East,4.302444444444444,0.37075193325193323,0.6107238788208493,0.07633198463160042,Mature (Adult Maint.),1
Assam,Nagaon,9002.0,3478.0,393.0,7120.0,90257.0,44214.0,73665.0,12873.0,215256.0,228129.0,16.720211278545907,0.030526642846046295,0.3863156725535932,1.9643350104845931,North East,6.2089594158123855,0.8161603403576414,0.7185495925550894,0.039460130014158656,Mature (Adult Maint.),0
Assam,Nalbari,2709.0,977.0,195.0,2083.0,18878.0,14657.0,5594.0,3881.0,41212.0,45093.0,10.61617722823287,0.05023183925811438,0.36051660516605166,0.9611773661619224,North East,7.0331094049904035,0.2963080671645744,0.5427006408977003,0.060075843257268315,Mature (Adult Maint.),0
Assam,Sivasagar,1765.0,627.0,767.0,1031.0,12039.0,8287.0,3093.0,3159.0,24450.0,27609.0,7.737341772151899,0.24272151898734176,0.355039637599094,1.0627805666952874,North East,8.030038759689923,0.2568936877076412,0.5480821471259372,0.06392842913542686,Mature (Adult Maint.),2
Assam,Sonitpur,5501.0,2723.0,973.0,3162.0,40414.0,17454.0,12663.0,9197.0,73693.0,82890.0,8.011850402261361,0.10578386605783865,0.494910941475827,1.2047928254232405,North East,5.518178944040468,0.31332426079425957,0.6403305585716009,0.06636506213053445,Mature (Adult Maint.),0
Assam,South Salmara Mankachar,1062.0,364.0,46.0,1188.0,19859.0,2855.0,1993.0,1472.0,25895.0,27367.0,17.57976917854718,0.031228784792939578,0.34242709313264347,2.336601895057357,North East,2.4011774600504627,0.10035246727089628,0.798479921072825,0.03880586107355574,Mature (Adult Maint.),1
Assam,Sribhumi,9451.0,4946.0,605.0,4327.0,42174.0,24274.0,11729.0,15002.0,82504.0,97506.0,5.4991668333000066,0.0403252682796774,0.5232754972492594,1.6707162179076693,North East,5.608595194085027,0.2781031416716064,0.5528172625274342,0.09692736857219043,Mature (Adult Maint.),0
Assam,Tamulpur,22.0,33.0,0.0,54.0,1214.0,17.0,53.0,55.0,1338.0,1393.0,23.892857142857142,0.0,1.434782608695652,0.7082082184497437,North East,0.3090909090909091,0.043621399176954734,0.9095477386934674,0.015793251974156496,Mature (Adult Maint.),0
Assam,Tinsukia,3884.0,2867.0,1633.0,2000.0,33249.0,12082.0,7167.0,8384.0,54498.0,62882.0,6.499463327370304,0.194752534287418,0.737966537966538,2.8575815882345,North East,6.037981009495252,0.21554887218045113,0.6427276486116854,0.061766483254349414,Mature (Adult Maint.),2
Assam,Udalguri,2658.0,1322.0,585.0,1380.0,18400.0,12995.0,9353.0,4565.0,42128.0,46693.0,9.226456416995182,0.12812089356110382,0.4971793907484017,2.588754528219554,North East,9.409847936278059,0.5082875930655942,0.5943717473711263,0.05692502088107425,Mature (Adult Maint.),1
Assam,West Karbi Anglong,390.0,987.0,507.0,152.0,1299.0,1084.0,2308.0,1884.0,4843.0,6727.0,2.5692307692307694,0.2689655172413793,2.524296675191816,3.735280066716706,North East,7.084967320261438,1.7753846153846153,0.5361974134086517,0.05797532332391854,Mature (Adult Maint.),2
Bihar,Araria,9939.0,5515.0,125.0,9001.0,146314.0,72533.0,82911.0,15579.0,310759.0,326338.0,19.94602053915276,0.008023106546854942,0.5548289738430584,1.3790575827128424,East,8.057431681848477,0.5666609711922906,0.7024159000790592,0.030456152823146555,Mature (Adult Maint.),0
